nacin,velicinaNiza,brojNiti,trajanje
Sekvencijalno-standardnaParticija,200000,1,54668
Sekvencijalno-randomPivot,200000,1,26496
Sekvencijalno-medianOfThreePivot,200000,1,26288
Paralelno-Sekcije-medianOfThreePivot,200000,4,249
Paralelno-Taskovi-medianOfThreePivot,200000,4,241
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,129
Sekvencijalno-standardnaParticija,200000,1,56047
Sekvencijalno-randomPivot,200000,1,28456
Sekvencijalno-medianOfThreePivot,200000,1,29900
Paralelno-Sekcije-medianOfThreePivot,200000,4,299
Paralelno-Taskovi-medianOfThreePivot,200000,4,388
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,127
Sekvencijalno-standardnaParticija,200000,1,51749
Sekvencijalno-randomPivot,200000,1,24062
Sekvencijalno-medianOfThreePivot,200000,1,25857
Paralelno-Sekcije-medianOfThreePivot,200000,4,232
Paralelno-Taskovi-medianOfThreePivot,200000,4,211
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,121
Sekvencijalno-standardnaParticija,200000,1,53513
Sekvencijalno-randomPivot,200000,1,23792
Sekvencijalno-medianOfThreePivot,200000,1,26082
Paralelno-Sekcije-medianOfThreePivot,200000,4,226
Paralelno-Taskovi-medianOfThreePivot,200000,4,229
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,122
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,1
Paralelno-Sekcije-medianOfThreePivot,200000,4,0
Paralelno-Taskovi-medianOfThreePivot,200000,4,223
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,129
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,2
Sekvencijalno-standardnaParticija,200000,1,52774
Sekvencijalno-randomPivot,200000,1,24032
Sekvencijalno-medianOfThreePivot,200000,1,25698
Paralelno-Sekcije-medianOfThreePivot,200000,4,224
Paralelno-Taskovi-medianOfThreePivot,200000,4,233
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,123
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,0
Paralelno-Taskovi-medianOfThreePivot,200000,4,228
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,133
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,0
Paralelno-Taskovi-medianOfThreePivot,200000,4,216
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,131
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,0
Paralelno-Taskovi-medianOfThreePivot,200000,4,223
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,133
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,1
Paralelno-Taskovi-medianOfThreePivot,200000,4,246
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,188
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,1
Paralelno-Taskovi-medianOfThreePivot,200000,4,247
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,168
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,1
Paralelno-Taskovi-medianOfThreePivot,200000,4,232
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,183
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,1
Paralelno-Taskovi-medianOfThreePivot,200000,4,241
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,133
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,1
Paralelno-Taskovi-medianOfThreePivot,200000,4,224
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,136
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,0
Paralelno-Taskovi-medianOfThreePivot,200000,4,228
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,132
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,1
Paralelno-Taskovi-medianOfThreePivot,200000,4,244
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,219
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,0
Paralelno-Taskovi-medianOfThreePivot,200000,4,280
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,136
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,0
Paralelno-Taskovi-medianOfThreePivot,200000,4,226
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,128
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,1
Paralelno-Taskovi-medianOfThreePivot,200000,4,235
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,133
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,1
Paralelno-Taskovi-medianOfThreePivot,200000,4,226
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,128
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,1
Paralelno-Taskovi-medianOfThreePivot,200000,4,243
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,139
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,1
Paralelno-Taskovi-medianOfThreePivot,200000,4,292
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,137
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,1
Paralelno-Taskovi-medianOfThreePivot,200000,4,221
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,157
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,0
Paralelno-Taskovi-medianOfThreePivot,200000,4,243
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,162
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,0
Paralelno-Taskovi-medianOfThreePivot,200000,4,245
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,141
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,2
Paralelno-Taskovi-medianOfThreePivot,200000,4,232
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,174
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,1
Paralelno-Taskovi-medianOfThreePivot,200000,4,255
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,136
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,1
Paralelno-Taskovi-medianOfThreePivot,200000,4,257
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,134
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,2
Paralelno-Taskovi-medianOfThreePivot,200000,4,255
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,134
Paralelno-Taskovi-medianOfThreePivot,200000,4,270
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,143
Paralelno-Taskovi-medianOfThreePivot,200000,4,233
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,147
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,1
Paralelno-Taskovi-medianOfThreePivot,200000,4,230
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,133
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,1
Paralelno-Taskovi-medianOfThreePivot,200000,4,266
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,139
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,1
Paralelno-Taskovi-medianOfThreePivot,200000,4,258
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,200
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,1
Paralelno-Taskovi-medianOfThreePivot,200000,4,220
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,170
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,1
Paralelno-Taskovi-medianOfThreePivot,200000,4,221
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,133
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,1
Paralelno-Taskovi-medianOfThreePivot,200000,4,234
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,128
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,0
Paralelno-Taskovi-medianOfThreePivot,200000,4,267
Paralelno-Taskovi-medianOfThreePivot,200000,4,272
Paralelno-Taskovi-medianOfThreePivot,200000,4,229
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,127
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,0
Paralelno-Taskovi-medianOfThreePivot,200000,4,256
Paralelno-Taskovi-medianOfThreePivot,200000,4,232
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,124
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,1
Paralelno-Taskovi-medianOfThreePivot,200000,4,247
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,136
Paralelno-Taskovi_v2-medianOfThreePivot,99999,4,0
Paralelno-Taskovi-medianOfThreePivot,200000,4,233
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,140
Paralelno-Taskovi_v2-medianOfThreePivot,50000,4,0
Paralelno-Taskovi-medianOfThreePivot,200000,4,228
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,131
Paralelno-Taskovi_v2-medianOfThreePivot,10000,4,0
Paralelno-Taskovi-medianOfThreePivot,200000,4,228
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,131
Paralelno-Taskovi_v2-medianOfThreePivot,250,4,0
Paralelno-Taskovi-medianOfThreePivot,200000,4,228
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,171
Paralelno-Taskovi_v2-medianOfThreePivot,250,4,0
Paralelno-Taskovi-medianOfThreePivot,200000,4,263
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,169
Paralelno-Taskovi_v2-medianOfThreePivot,250,4,0
Paralelno-Taskovi-medianOfThreePivot,200000,4,243
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,179
Paralelno-Taskovi_v2-medianOfThreePivot,250,4,0
Paralelno-Taskovi-medianOfThreePivot,200000,4,231
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,172
Paralelno-Taskovi_v2-medianOfThreePivot,250,4,0
Paralelno-Taskovi-medianOfThreePivot,200000,4,242
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,176
Paralelno-Taskovi_v2-medianOfThreePivot,250,4,0
Paralelno-Taskovi-medianOfThreePivot,200000,4,231
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,136
Paralelno-Taskovi_v2-medianOfThreePivot,250,4,0
Paralelno-Taskovi-medianOfThreePivot,200000,4,225
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,123
Paralelno-Taskovi_v2-medianOfThreePivot,250,4,0
Paralelno-Taskovi-medianOfThreePivot,200000,4,224
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,124
AVX2,250,4,0
Paralelno-Taskovi-medianOfThreePivot,200000,4,223
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,127
AVX2,10,4,0
Paralelno-Taskovi-medianOfThreePivot,200000,4,229
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,126
AVX2,10,4,0
Paralelno-Taskovi-medianOfThreePivot,200000,4,230
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,134
AVX2,10,4,0
Paralelno-Taskovi-medianOfThreePivot,200000,4,225
Paralelno-Taskovi_v2-medianOfThreePivot,200000,4,128
